Sl_no,Dut_serial_number,Module_no,Operator,test_Time,time_stamp,Result,Count_of_test,Insulation_Tester_Baseplate_to_Negative,Insulation_Tester_Baseplate_to_positive,Voltage_Harness_test_CH_1,Voltage_Harness_test_CH_2,Voltage_Harness_test_CH_3,Voltage_Harness_test_CH_4,Voltage_Harness_test_CH_5,Voltage_Harness_test_CH_6,Voltage_Harness_test_CH_7,Voltage_Harness_test_CH_8,Max_Voltage,Min_Voltage,S8_Voltage,S8_Voltage_Imbalance,Temperature_Ch_CH_1,Temperature_Ch_CH_2,Temperature_Ch_CH_3,Ambient_Temperature,Max_temperature,Min_Temperature,S8_Temperature,Ambient_Temperature_imblance,Weld_resistance_CH_1,Weld_resistance_CH_2,Weld_resistance_CH_3,Weld_resistance_CH_4,Weld_resistance_CH_5,Weld_resistance_CH_6,Weld_resistance_CH_7,Weld_resistance_CH_8,Weld_resistance_CH_9,load_current
1,12,A,,,30:August:2024:17:27:36,Fail,1,0127M ohm,0177M ohm,3.207,3.206,3.208,0.2,0.471,3.207,3.207,3.207,3.208,0.2,2.489,3.008,27.886,27.022,27.361,7.61508e+36,27.886,27.022,0.864,7.61508e+36,1290.76,87.591,70.657,158.504,65.544,102.026,157.45,114.785,142.337,45.6
10,123,A,,,30:August:2024:17:36:57,Fail,1,0129M ohm,0179M ohm,3.204,3.203,3.205,0.19,0.478,3.204,3.204,3.204,3.205,0.19,2.487,3.015,27.61,27.104,27.47,7.61508e+36,27.61,27.104,0.506,7.61508e+36,1457.317,165.955,141.096,186.878,143.253,90.774,193.358,137.722,153.796,46
11,123,A,,,30:August:2024:17:36:57,Fail,2,0129M ohm,0179M ohm,3.204,3.203,3.205,0.19,0.478,3.204,3.204,3.204,3.205,0.19,2.487,3.015,27.61,27.104,27.47,7.61508e+36,27.61,27.104,0.506,7.61508e+36,1457.317,165.955,141.096,186.878,143.253,90.774,193.358,137.722,153.796,46
12,123,A,,,30:August:2024:17:55:51,Fail,3,0136M ohm,0188M ohm,3.207,3.206,3.208,0.243,0.371,3.207,3.207,3.207,3.208,0.243,2.482,2.965,27.934,27.275,27.668,7.61508e+36,27.934,27.275,0.659,7.61508e+36,-851.374,127.805,59.369,147.094,54.632,79.293,161.308,124.393,164.716,46.169
13,123,A,, 00:00:22,30:August:2024:18:09:25,Fail,4,0138M ohm,0187M ohm,3.207,3.207,3.208,0.135,0.445,3.207,3.208,3.207,3.208,0.135,2.478,3.072,28.099,27.428,27.922,7.61508e+36,28.099,27.428,0.671,7.61508e+36,371.213,91.165,55.362,147.727,64.072,110.967,136.422,139.433,133.887,46.106
14,123,B,, 00:00:19,31:August:2024:12:00:58,Fail,5,0007M ohm,0010M ohm,3.208,3.208,3.208,3.208,3.208,3.208,3.208,3.208,3.208,3.208,3.208,0.0,26.838,25.911,24.777,7.61508e+36,26.838,24.777,2.061,7.61508e+36,3.248,20.874,20.977,20.686,20.677,20.982,20.913,21.63,3.182,45.74
15,123,B,, 00:00:21,31:August:2024:12:02:08,Fail,6,0016M ohm,0020M ohm,3.202,3.202,3.202,3.202,3.202,3.202,3.202,3.202,3.202,3.202,3.202,0.0,24.166,25.377,24.747,7.61508e+36,25.377,24.166,1.211,7.61508e+36,3.398,20.815,21.0,20.705,20.783,20.918,20.982,21.698,3.239,45.664
16,123,B,, 00:00:16,31:August:2024:12:03:02,Fail,7,0017M ohm,0024M ohm,3.196,3.197,3.196,3.196,3.197,3.196,3.197,3.197,3.197,3.196,3.197,0.001,23.834,25.503,24.739,7.61508e+36,25.503,23.834,1.669,7.61508e+36,3.339,20.859,20.96,20.686,20.786,20.95,20.877,21.686,3.221,45.622
17,123,B,, 00:00:17,31:August:2024:12:11:57,Fail,8,0016M ohm,0028M ohm,3.2,3.2,3.2,3.2,3.2,3.2,3.201,3.2,3.201,3.2,3.2,0.0,25.67,24.587,24.663,7.61508e+36,25.67,24.587,1.083,7.61508e+36,3.346,20.839,20.995,20.657,20.811,20.951,20.965,21.661,3.225,45.681
18,123,B,, 00:00:18,31:August:2024:12:18:43,Fail,9,0012M ohm,0012M ohm,3.199,3.199,3.199,3.199,3.199,3.199,3.199,3.199,3.199,3.199,3.199,0.0,22.145,24.934,24.752,7.61508e+36,24.934,22.145,2.789,7.61508e+36,3.407,20.855,21.047,20.661,20.797,20.932,20.95,21.779,3.232,45.661
19,123,B,, 00:00:18,31:August:2024:12:19:30,Fail,10,0025M ohm,0021M ohm,3.192,3.193,3.192,3.192,3.193,3.192,3.193,3.193,3.193,3.192,3.192,0.001,22.071,24.924,24.642,7.61508e+36,24.924,22.071,2.852,7.61508e+36,3.382,20.846,21.037,20.649,20.759,20.972,20.899,21.759,3.18,45.583
20,123,B,, 00:00:22,31:August:2024:12:23:44,Fail,11,0039M ohm,0063M ohm,3.195,3.195,3.194,3.194,3.195,3.194,3.195,3.195,3.195,3.194,3.195,0.001,23.357,24.89,24.586,7.61508e+36,24.89,23.357,1.533,7.61508e+36,3.439,20.872,21.004,20.691,20.752,20.927,20.979,21.792,3.157,45.608
21,123,B,, 00:00:53,31:August:2024:12:26:39,Fail,12,0012M ohm,0025M ohm,3.193,3.193,3.192,3.192,3.193,3.192,3.193,3.193,3.193,3.192,3.193,0.001,29.675,24.796,24.496,7.61508e+36,29.675,24.496,5.179,7.61508e+36,3.405,21.094,20.912,20.827,20.771,20.963,20.984,22.387,3.282,45.653
22,123,A,, 00:00:53,31:August:2024:12:38:40,Fail,13,0180M ohm,0226M ohm,3.211,3.211,3.212,3.211,3.212,3.211,3.212,3.211,3.212,3.211,3.211,0.001,24.597,24.685,24.132,7.61508e+36,24.685,24.132,0.553,7.61508e+36,3.541,20.604,20.616,20.6,20.717,20.676,20.611,20.874,3.296,46.044
23,1244,A,, 00:00:41,31:August:2024:12:39:33,Fail,1,0182M ohm,0243M ohm,3.207,3.206,3.207,3.207,3.207,3.206,3.207,3.207,3.207,3.206,3.207,0.001,24.583,24.661,24.127,7.61508e+36,24.661,24.127,0.534,7.61508e+36,3.538,20.577,20.553,20.618,20.688,20.607,20.662,20.81,3.293,46.009
24,666,A,, 00:00:53,31:August:2024:12:40:32,Fail,1,0184M ohm,0236M ohm,3.202,3.201,3.203,3.202,3.202,3.201,3.202,3.202,3.203,3.201,3.202,0.001,24.588,24.647,24.143,7.61508e+36,24.647,24.143,0.504,7.61508e+36,3.553,20.556,20.595,20.557,20.671,20.673,20.623,20.788,3.273,45.955
25,123,A,, 00:00:18,31:August:2024:12:44:19,Fail,14,0184M ohm,0245M ohm,3.205,3.204,3.205,3.205,3.205,3.205,3.205,3.205,3.205,3.204,3.205,0.001,24.551,24.598,24.102,28.572,24.598,24.102,0.496,4.47,3.536,20.625,20.654,20.661,20.715,20.587,20.666,20.798,3.316,45.92
26,7123,A,, 00:00:24,31:August:2024:12:58:34,Fail,1,0192M ohm,0268M ohm,3.207,3.207,3.208,3.207,3.208,3.207,3.207,3.207,3.208,3.207,3.207,0.001,24.464,24.481,23.96,28.7,24.481,23.96,0.52,4.74,3.539,20.597,20.62,20.591,20.691,20.675,20.641,20.941,3.238,46.012
27,7123,A,, 00:00:21,31:August:2024:12:59:17,Fail,2,0206M ohm,0267M ohm,3.201,3.201,3.202,3.201,3.201,3.201,3.201,3.201,3.202,3.201,3.201,0.001,24.334,24.471,23.957,28.572,24.471,23.957,0.514,4.615,3.549,20.59,20.564,20.599,20.717,20.744,20.676,20.869,3.317,45.942
28,7123,A,, 00:00:26,31:August:2024:13:19:47,Fail,3,0204M ohm,0763M ohm,3.207,3.206,3.207,3.206,3.207,3.207,3.207,3.207,3.207,3.206,3.207,0.001,24.091,24.297,23.713,28.158,24.297,23.713,0.584,4.445,721.802,-6568.394,3248.107,-2995.476,5305.241,-3464.647,-2598.485,-4836.07,-3212.017,-0.001
29,123,A,, 00:00:24,31:August:2024:14:37:01,Fail,15,0250M ohm,0326M ohm,3.209,3.209,3.21,3.209,3.21,3.209,3.21,3.209,3.21,3.209,3.209,0.001,29.18,29.343,28.876,27.859,29.343,28.876,0.466,-1.017,3.625,20.693,20.638,20.687,20.807,20.72,20.811,20.906,3.275,46.027
30,123,A,, 00:00:17,31:August:2024:14:38:39,Fail,16,0261M ohm,0329M ohm,3.206,3.205,3.206,3.205,3.206,3.205,3.206,3.206,3.206,3.205,3.206,0.001,29.172,29.324,28.853,27.894,29.324,28.853,0.471,-0.959,3.59,20.692,20.661,20.67,20.81,20.678,20.789,20.822,3.382,46.034
31,123,A,, 00:00:19,31:August:2024:14:43:14,Fail,17,0250M ohm,0328M ohm,3.205,3.205,3.206,3.205,3.206,3.205,3.206,3.206,3.206,3.205,3.205,0.001,29.151,29.283,28.83,27.89,29.283,28.83,0.453,-0.94,3.6,20.766,20.62,20.699,20.805,20.638,20.794,20.824,3.319,46.03
32,512345678,A,, 00:00:16,31:August:2024:15:08:10,Fail,1,0252M ohm,0332M ohm,3.207,3.207,3.208,3.207,3.208,3.207,3.208,3.208,3.208,3.207,3.208,0.001,28.972,29.086,28.639,27.763,29.086,28.639,0.448,-0.876,3.617,20.7,20.663,20.731,20.919,20.665,20.807,20.844,3.337,46.061
